mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB-3763186910;Placa de vídeo galax nvidia rtx 3050 8gb gddr6 128bit;Olist;Classic;R$ 4.189,00;R$ 4.189,00;0%;em 12x R$402,65;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3763186910-placa-de-video-galax-nvidia-rtx-3050-8gb-gddr6-128bit-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_632631-MLB70252853807_072023-E.webp
MLB-1734512611;Dual cooler placa de video galax geforce rtx 2060 6gb;N/A;Premium;R$ 259,00;R$ 259,90;0%;em 8x R$32,49 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-1734512611-dual-cooler-placa-de-video-galax-geforce-rtx-2060-6gb-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_803626-MLB44252446085_122020-E.webp
MLB21903455;Placa de vídeo galax nvidia rtx 3050 8gb gddr6 128bit;Olist;Premium;R$ 3.544,00;R$ 3.544,00;0%;em 10x R$354,41 sem juros;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-galax-nvidia-rtx-3050-8gb-gddr6-128bit/p/MLB21903455#polycard_client=search-nordic&wid=MLB3522198613&sid=search&searchVariation=MLB21903455&position=10&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_628788-MLB52374712998_112022-E.webp
MLB37827450;Placa de video msi geforce rtx 3050 gaming x 6gb gddr6 92bit;Msi;Classic;R$ 1.335,00;R$ 1.335,00;0%;em 12x R$129,15;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-gaming-x-6gb-gddr6-92bit/p/MLB37827450#polycard_client=search-nordic&wid=MLB5009794926&sid=search&searchVariation=MLB37827450&position=5&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_842879-MLU77148112435_062024-E.webp
MLB34284188;Placa de video msi geforce rtx 3050 ventus 2x oc, 6gb, gddr6, 96-bit, 912-v812-016-nac;N/A;Classic;R$ 1.461,00;R$ 1.461,00;0%;em 12x R$141,39;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-ventus-2x-oc-6gb-gddr6-96-bit-912-v812-016-nac/p/MLB34284188#polycard_client=search-nordic&wid=MLB5068279554&sid=search&searchVariation=MLB34284188&position=4&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_615817-MLU78851410259_082024-E.webp
MLB-1916971583;Dual cooler placa de video galax geforce rtx 2060 6gb;N/A;Premium;R$ 219,00;R$ 219,90;0%;em 7x R$31,41 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-1916971583-dual-cooler-placa-de-video-galax-geforce-rtx-2060-6gb-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_735749-MLB46391269750_062021-E.webp
MLB15971892;Placa de vídeo nvidia galax  geforce rtx 20 series rtx 2060 26nrl7hpx7oc 6gb;N/A;Classic;R$ 2.790,00;R$ 2.790,00;0%;em 12x R$268,17;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-nvidia-galax-geforce-rtx-20-series-rtx-2060-26nrl7hpx7oc-6gb/p/MLB15971892#polycard_client=search-nordic&wid=MLB3554621829&sid=search&searchVariation=MLB15971892&position=11&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_776520-MLA43437746701_092020-E.webp
MLB-4242782662;Placa de vídeo galax nvidia rtx 3050 8gb gddr6 128bit;Olist;Classic;R$ 3.577,00;R$ 3.577,00;0%;em 12x R$343,81;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4242782662-placa-de-video-galax-nvidia-rtx-3050-8gb-gddr6-128bit-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_881110-MLB73118918367_112023-E.webp
MLB40164061;Placa de vídeo msi geforce rtx 3050 ventus 2x 6g oc;N/A;Premium;R$ 2.470,00;R$ 1.482,00;40% OFF;em 10x R$148,20 sem juros;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-ventus-2x-6g-oc/p/MLB40164061#polycard_client=search-nordic&wid=MLB5109800166&sid=search&searchVariation=MLB40164061&position=3&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_902613-MLA79588917563_092024-E.webp
MLB40164061;Placa de vídeo msi geforce rtx 3050 ventus 2x 6g oc;N/A;Premium;R$ 2.470,00;R$ 1.482,00;40% OFF;em 10x R$148,20 sem juros;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-ventus-2x-6g-oc/p/MLB40164061#polycard_client=search-nordic&wid=MLB5109800166&sid=search&searchVariation=MLB40164061&position=5&search_layout=grid&type=product&tracking_id=df250b1b-caf4-4ee5-8619-50d92455fc09;https://http2.mlstatic.com/D_Q_NP_2X_902613-MLA79588917563_092024-E.webp
