url;title;price_previous;price_current;seller;seller_sales;qtd_available;scraped_at
https://produto.mercadolivre.com.br/MLB-4962685882-placa-de-video-rtx-3050-6gb-gddr6-asus-geforce-dual-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Video Rtx 3050 6gb Gddr6 Asus Geforce Dual;1.795;R$1.795;Vidacomdistribuidora;+100 vendas;Último disponível!;30/11/2024 00:25:43
https://produto.mercadolivre.com.br/MLB-4784204194-placa-de-video-msi-geforce-rtx-3050-oc-6gb-gddr6-96bits-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Msi Geforce Rtx 3050 Oc 6gb Gddr6 96bits;1.662;R$1.662,20;Hdstore.com.br;Mercadolíder | +10mil vendas;Último disponível!;30/11/2024 00:25:43
https://produto.mercadolivre.com.br/MLB-5043603398-placa-de-video-rtx3050-6gb-twin-x2-gddr6-96-bits-inno3d-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Rtx3050 6gb Twin X2 Gddr6 96 Bits Inno3d;1.557;R$1.557,21;Bitboss.;Mercadolíder | +1000 vendas;2 disponíveis;30/11/2024 00:25:44
https://produto.mercadolivre.com.br/MLB-5049191746-placa-grafica-msi-gaming-rtx-3050-lp-6g-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa Gráfica Msi Gaming Rtx 3050 Lp 6g Oc 6gb Gddr6;R$1.719,72;R$1.427,37;Lnocnoc usa;+10mil vendas;Último disponível!;30/11/2024 00:25:44
https://produto.mercadolivre.com.br/MLB-3682555247-placa-de-video-nvidia-rtx-3050-6gb-ddr6-asus-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Video Nvidia Rtx 3050 6gb Ddr6 Asus;1.699;R$1.699,99;Comprasja2024;Mercadolíder | +1000 vendas;5 disponíveis;30/11/2024 00:25:45
https://produto.mercadolivre.com.br/MLB-4818640856-placa-de-video-msi-geforce-rtx-3050-oc-6gb-gddr6-96bits-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Msi Geforce Rtx 3050 Oc 6gb Gddr6 96bits;1.489;R$1.489,90;Dataservermanut;Mercadolíder | +5mil vendas;2 disponíveis;30/11/2024 00:25:46
https://produto.mercadolivre.com.br/MLB-3841470815-placa-de-video-rtx3050-6gb-twin-x2-gddr6-96-bits-inno3d-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Rtx3050 6gb Twin X2 Gddr6 96 Bits Inno3d;1.663;R$1.663,06;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:46
https://produto.mercadolivre.com.br/MLB-5120348722-vga-msi-geforce-nvidia-rtx-3050-ventus-2x-6-gb-oc-gddr6-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Vga Msi Geforce Nvidia Rtx 3050 Ventus 2x 6 Gb Oc Gddr6;1.569;R$1.569;Techconnectinformatica;+50 vendas;5 disponíveis;30/11/2024 00:25:47
https://produto.mercadolivre.com.br/MLB-4883452306-placa-de-video-msi-geforce-rtx-3050-oc-6gb-gddr6-96bits-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Msi Geforce Rtx 3050 Oc 6gb Gddr6 96bits;1.799;R$1.799;Eliteinformaticajunior;+1000 vendas;2 disponíveis;30/11/2024 00:25:47
https://produto.mercadolivre.com.br/MLB-5175525424-placa-de-video-geforce-rtx-3050-6gb-msi-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Video Geforce Rtx 3050 6gb - Msi;1.790;R$1.790;Pc informatica10;Mercadolíder | +1000 vendas;Último disponível!;30/11/2024 00:25:48
https://produto.mercadolivre.com.br/MLB-3849114247-placa-grafica-asus-dual-nvidia-geforce-rtx-3050-6gb-gddr6-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa Gráfica Asus Dual Nvidia Geforce Rtx 3050 6gb Gddr6;R$1.670,76;R$1.386,73;Us nocnoc-brr;Mercadolíder | +50mil vendas;+20 disponíveis;30/11/2024 00:25:49
https://produto.mercadolivre.com.br/MLB-5161509698-placa-de-video-msi-geforce-rtx-3050-ventus-2x-6gb-gddr6-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Msi Geforce Rtx 3050 Ventus 2x 6gb Gddr6;1.459;R$1.459;Techconnectinformatica;+50 vendas;5 disponíveis;30/11/2024 00:25:49
https://produto.mercadolivre.com.br/MLB-4704323750-placa-de-video-rtx-3050-6gb-gddr6x-96bits-dual-fan-asus-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Rtx 3050 6gb Gddr6x 96bits Dual Fan Asus;1.602;R$1.602,97;Maddog;+1000 vendas;Último disponível!;30/11/2024 00:25:50
https://produto.mercadolivre.com.br/MLB-4562325334-placa-video-6-gb-gainward-pegasus-gf-rtx3050-d6-ne63050018je-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa Video 6 Gb Gainward Pegasus Gf Rtx3050 D6 Ne63050018je;1.479;R$1.479;Vrsinformaticabaurultda;+100 vendas;Último disponível!;30/11/2024 00:25:51
https://produto.mercadolivre.com.br/MLB-3822452861-placa-de-video-rtx3050-6gb-gddr6-lp-96bits-msi-912-v812-023-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Rtx3050 6gb Gddr6 Lp 96bits Msi 912-v812-023;1.743;R$1.743,64;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:51
